timestamp,socket_0,socket_0_TSENT,socket_0_TSENTSEC,socket_0_TTHSENTSEC,socket_0_TTHSENT,socket_status_0,TMSG,TOSEND,SENT,TMSGSEC,TTHMSGSEC,AVG,THtotalsent,ackSent,state,globalState,THloss
1,0,0,0,0.00,0.00,2,0,0,0,0,0.00,0.00,0.00,0,0.00,8.00,0.00
2,0,0,0,0.00,0.00,2,0,0,0,0,0.00,0.00,0.00,0,0.00,8.00,0.00
3,0,0,0,0.00,0.00,2,0,0,0,0,0.00,0.00,0.00,0,0.00,8.00,0.00
4,0,0,0,0.00,0.00,2,0,0,0,0,0.00,0.00,0.00,0,0.00,8.00,0.00
5,0,0,0,0.00,0.00,2,0,0,0,0,0.00,0.00,0.00,0,0.00,8.00,0.00
6,0,0,0,0.00,0.00,2,0,0,0,0,0.00,0.00,0.00,0,0.00,8.00,0.00
7,0,0,0,0.00,0.00,2,0,0,0,0,0.00,0.00,0.00,0,0.00,8.00,0.00
8,0,0,0,0.00,0.00,2,0,0,0,0,0.00,0.00,0.00,0,0.00,8.00,0.00
9,0,0,0,0.00,0.00,2,0,0,0,0,0.00,0.00,0.00,0,0.00,8.00,0.00
10,0,0,0,0.00,0.00,2,0,0,0,0,0.00,0.00,0.00,0,0.00,8.00,0.00
11,0,16780,16780,153.69,153.69,2,16780,0,16780,16780,153.69,13.97,153.69,0,0.00,8.00,0.00
12,0,128464,111684,1022.92,1176.61,2,128464,0,128464,111684,1022.92,98.05,1176.61,0,0.00,8.00,0.00
13,0,173896,45432,416.12,1592.73,2,173896,0,173896,45432,416.12,122.52,1592.73,0,0.00,8.00,0.00
14,0,224130,50234,460.10,2052.83,2,224130,0,224130,50234,460.10,146.63,2052.83,0,0.00,8.00,0.00
15,0,256130,32000,293.09,2345.92,2,256130,0,256130,32000,293.09,156.39,2345.92,0,0.00,8.00,0.00
16,0,288134,32004,293.13,2639.04,2,288134,0,288134,32004,293.13,164.94,2639.04,0,0.00,8.00,0.00
17,0,293037,4903,44.91,2683.95,2,304742,11705,293037,4903,44.91,157.88,2683.95,0,0.00,8.00,0.00
18,0,303322,10285,94.20,2778.15,2,315192,11870,303322,10285,94.20,154.34,2778.15,0,0.00,8.00,0.00
