Java HotSpot(TM) 64-Bit Server VM (25.131-b11) for linux-amd64 JRE (1.8.0_131-b11), built on Mar 15 2017 01:23:40 by "java_re" with gcc 4.3.0 20080428 (Red Hat 4.3.0-8)
Memory: 4k page, physical 196649792k(185731884k free), swap 3905532k(3905532k free)
CommandLine flags: -XX:InitialHeapSize=2147483648 -XX:MaxHeapSize=201369391104 -XX:+PrintGC -XX:+PrintGCDateStamps -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:+UseParallelGC 
2021-04-01T07:15:21.615+0200: 131.396: [GC (Allocation Failure) [PSYoungGen: 10525699K->73566K(11136000K)] 10871633K->419509K(12807168K), 0.0170022 secs] [Times: user=0.24 sys=0.19, real=0.02 secs] 
2021-04-01T07:15:30.638+0200: 140.419: [GC (Allocation Failure) [PSYoungGen: 11135838K->77962K(11228672K)] 11481781K->423912K(12899840K), 0.0396612 secs] [Times: user=1.18 sys=0.09, real=0.04 secs] 
2021-04-01T07:15:41.551+0200: 151.332: [GC (Allocation Failure) [PSYoungGen: 11174026K->74558K(11860992K)] 11519976K->420509K(13532160K), 0.0413531 secs] [Times: user=1.27 sys=0.10, real=0.05 secs] 
2021-04-01T07:15:51.198+0200: 160.979: [GC (Allocation Failure) [PSYoungGen: 11805502K->78700K(11857920K)] 12151453K->424650K(13529088K), 0.0210085 secs] [Times: user=0.43 sys=0.06, real=0.02 secs] 
2021-04-01T07:16:01.762+0200: 171.543: [GC (Allocation Failure) [PSYoungGen: 11809644K->73121K(11273216K)] 12155594K->422228K(12944384K), 0.0235909 secs] [Times: user=0.50 sys=0.06, real=0.02 secs] 
2021-04-01T07:16:12.336+0200: 182.117: [GC (Allocation Failure) [PSYoungGen: 11273121K->75945K(10771456K)] 11622228K->426228K(12442624K), 0.0588967 secs] [Times: user=1.90 sys=0.08, real=0.06 secs] 
2021-04-01T07:16:22.163+0200: 191.944: [GC (Allocation Failure) [PSYoungGen: 10771113K->72183K(10287616K)] 11121396K->423546K(11958784K), 0.0435701 secs] [Times: user=1.18 sys=0.01, real=0.04 secs] 
2021-04-01T07:16:31.621+0200: 201.401: [GC (Allocation Failure) [PSYoungGen: 10287607K->75186K(10829824K)] 10638970K->427405K(12500992K), 0.0699354 secs] [Times: user=2.40 sys=0.05, real=0.06 secs] 
2021-04-01T07:16:42.219+0200: 212.000: [GC (Allocation Failure) [PSYoungGen: 10829746K->69598K(10341888K)] 11181965K->424809K(12013056K), 0.0168024 secs] [Times: user=0.41 sys=0.00, real=0.02 secs] 
2021-04-01T07:16:50.900+0200: 220.681: [GC (Allocation Failure) [PSYoungGen: 10341854K->74123K(9887744K)] 10697065K->430262K(11558912K), 0.0470610 secs] [Times: user=1.31 sys=0.03, real=0.04 secs] 
2021-04-01T07:16:59.511+0200: 229.292: [GC (Allocation Failure) [PSYoungGen: 9887627K->70456K(9447936K)] 10243766K->427443K(11119104K), 0.0473121 secs] [Times: user=1.38 sys=0.00, real=0.05 secs] 
2021-04-01T07:17:08.115+0200: 237.896: [GC (Allocation Failure) [PSYoungGen: 9447736K->72571K(9035264K)] 9804723K->430406K(10706432K), 0.0475229 secs] [Times: user=1.56 sys=0.04, real=0.05 secs] 
2021-04-01T07:17:15.842+0200: 245.622: [GC (Allocation Failure) [PSYoungGen: 9035131K->60912K(8629248K)] 9392966K->428903K(10300416K), 0.0344816 secs] [Times: user=1.09 sys=0.00, real=0.03 secs] 
2021-04-01T07:17:24.845+0200: 254.625: [GC (Allocation Failure) [PSYoungGen: 8629232K->62167K(8256000K)] 8997223K->431578K(9927168K), 0.0395926 secs] [Times: user=1.21 sys=0.02, real=0.04 secs] 
2021-04-01T07:17:32.042+0200: 261.823: [GC (Allocation Failure) [PSYoungGen: 8255703K->62882K(7900160K)] 8625114K->432301K(9571328K), 0.0299949 secs] [Times: user=0.85 sys=0.00, real=0.03 secs] 
2021-04-01T07:17:38.504+0200: 268.284: [GC (Allocation Failure) [PSYoungGen: 7900066K->59239K(7557632K)] 8269485K->429458K(9228800K), 0.0391012 secs] [Times: user=1.22 sys=0.04, real=0.04 secs] 
2021-04-01T07:17:45.643+0200: 275.424: [GC (Allocation Failure) [PSYoungGen: 7557479K->61881K(7238144K)] 7927698K->432860K(8909312K), 0.0366501 secs] [Times: user=1.17 sys=0.00, real=0.04 secs] 
2021-04-01T07:17:52.484+0200: 282.265: [GC (Allocation Failure) [PSYoungGen: 7238073K->63454K(6933504K)] 7609052K->435257K(8604672K), 0.0297191 secs] [Times: user=0.94 sys=0.01, real=0.03 secs] 
2021-04-01T07:17:58.616+0200: 288.397: [GC (Allocation Failure) [PSYoungGen: 6933470K->55008K(6633984K)] 7305273K->427563K(8305152K), 0.0350126 secs] [Times: user=0.93 sys=0.00, real=0.03 secs] 
2021-04-01T07:18:05.072+0200: 294.853: [GC (Allocation Failure) [PSYoungGen: 6633696K->58706K(6360576K)] 7006251K->432053K(8031744K), 0.0267514 secs] [Times: user=0.64 sys=0.00, real=0.02 secs] 
2021-04-01T07:18:10.171+0200: 299.952: [GC (Allocation Failure) [PSYoungGen: 6360402K->61579K(6099968K)] 6733749K->435630K(7771136K), 0.0267555 secs] [Times: user=0.80 sys=0.00, real=0.03 secs] 
2021-04-01T07:18:15.722+0200: 305.503: [GC (Allocation Failure) [PSYoungGen: 6099595K->64706K(5852160K)] 6473646K->439405K(7523328K), 0.0327386 secs] [Times: user=0.95 sys=0.00, real=0.03 secs] 
2021-04-01T07:18:21.159+0200: 310.940: [GC (Allocation Failure) [PSYoungGen: 5851842K->48631K(5597184K)] 6226541K->436474K(7268352K), 0.0326597 secs] [Times: user=0.94 sys=0.02, real=0.03 secs] 
2021-04-01T07:18:26.179+0200: 315.960: [GC (Allocation Failure) [PSYoungGen: 5597175K->53417K(5375488K)] 5985018K->442348K(7046656K), 0.0267538 secs] [Times: user=0.64 sys=0.00, real=0.03 secs] 
2021-04-01T07:18:32.652+0200: 322.432: [GC (Allocation Failure) [PSYoungGen: 5375145K->57993K(5164032K)] 5764076K->446924K(6835200K), 0.0514536 secs] [Times: user=1.77 sys=0.00, real=0.06 secs] 
2021-04-01T07:18:37.534+0200: 327.315: [GC (Allocation Failure) [PSYoungGen: 5163657K->57664K(4957696K)] 5552588K->447291K(6628864K), 0.0350222 secs] [Times: user=1.25 sys=0.00, real=0.03 secs] 
2021-04-01T07:18:42.192+0200: 331.973: [GC (Allocation Failure) [PSYoungGen: 4954447K->50167K(4754432K)] 5344074K->443834K(6425600K), 0.0398416 secs] [Times: user=1.11 sys=0.02, real=0.03 secs] 
2021-04-01T07:18:45.717+0200: 335.498: [GC (Allocation Failure) [PSYoungGen: 4754423K->61353K(5022208K)] 5148090K->455948K(6693376K), 0.0394106 secs] [Times: user=1.21 sys=0.00, real=0.04 secs] 
