batchTime;numRecords;processingDelay;schedulingDelay;
1617248352000;0;1441;5
1617248354000;14589;1186;0
1617248356000;32006;974;1
1617248358000;41149;971;0
1617248360000;69494;1058;1
1617248362000;95791;1266;0
1617248364000;134239;1457;0
1617248366000;152811;1601;1
1617248368000;182837;1842;0
1617248370000;192428;3528;0
1617248372000;197588;2219;1535
1617248374000;198008;2368;1752
1617248376000;109237;1324;2121
1617248378000;146583;1500;1447
1617248380000;141320;1481;944
1617248382000;141117;1523;425
1617248384000;205323;2043;1
1617248386000;142056;1640;57
1617248388000;193934;2880;1
1617248390000;175270;3196;884
1617248392000;155487;1516;2079
1617248394000;139216;1957;1597
1617248396000;136427;1631;1418
1617248398000;157990;1836;1084
1617248400000;99007;1297;1022
1617248402000;140688;1531;321
1617248404000;204456;1978;0
1617248406000;106768;1441;535
1617248408000;192575;1942;0
1617248410000;222893;2372;0
1617248412000;119088;1491;828
1617248414000;189796;2472;320
1617248416000;167391;1637;775
1617248418000;147434;1476;428
1617248420000;247431;2386;0
1617248422000;114860;1953;803
1617248424000;193688;2312;768
1617248426000;169970;2129;1080
1617248428000;121654;1568;1196
1617248430000;180494;2262;713
1617248432000;112476;1366;1039
1617248434000;139725;1629;403
1617248436000;147988;1596;36
1617248438000;196935;1801;0
1617248440000;147978;1576;1
1617248442000;249688;2007;0
1617248444000;150291;2034;104
1617248446000;228567;2747;136
1617248448000;174321;1903;883
1617248450000;157997;2913;779
1617248452000;165402;1713;1700
1617248454000;212082;2222;920
1617248456000;96521;1406;1395
1617248458000;162468;2278;663
1617248460000;124244;1656;1321
1617248462000;116669;1782;974
1617248464000;132731;1487;760
1617248466000;129269;1491;238
1617248468000;182218;1723;0
1617248470000;135758;2089;0
1617248472000;202540;1935;57
1617248474000;150743;1911;22
1617248476000;262670;2081;1
1617248478000;94511;1282;520
1617248480000;248659;1950;1
1617248482000;111982;1331;263
1617248484000;249004;2380;1
1617248486000;128224;2141;495
1617248488000;191036;1952;633
1617248490000;165480;2777;573
1617248492000;141838;1493;1357
1617248494000;182433;1616;856
1617248496000;130600;1466;473
1617248498000;261902;2025;1
1617248500000;102198;1529;487
1617248502000;217354;2450;13
1617248504000;157556;1584;465
1617248506000;154592;2421;50
1617248508000;186809;2272;470
1617248510000;155788;2163;678
1617248512000;131280;1457;901
1617248514000;157401;1752;363
1617248516000;150642;1514;115
1617248518000;210515;1922;1
1617248520000;157836;1642;65
1617248522000;253752;2261;0
1617248524000;153210;1667;482
1617248526000;209167;2036;150
