Java HotSpot(TM) 64-Bit Server VM (25.131-b11) for linux-amd64 JRE (1.8.0_131-b11), built on Mar 15 2017 01:23:40 by "java_re" with gcc 4.3.0 20080428 (Red Hat 4.3.0-8)
Memory: 4k page, physical 196649800k(192315768k free), swap 3905532k(3905532k free)
CommandLine flags: -XX:InitialHeapSize=2147483648 -XX:MaxHeapSize=201369391104 -XX:+PrintGC -XX:+PrintGCDateStamps -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:+UseParallelGC 
2021-02-22T00:03:47.206+0100: 225.838: [GC (Allocation Failure) [PSYoungGen: 12265842K->68516K(11707392K)] 12640250K->442924K(13218816K), 0.0533939 secs] [Times: user=1.64 sys=0.03, real=0.06 secs] 
2021-02-22T00:04:03.217+0100: 241.849: [GC (Allocation Failure) [PSYoungGen: 11707300K->71908K(11178496K)] 12081708K->446316K(12689920K), 0.0785601 secs] [Times: user=2.81 sys=0.09, real=0.08 secs] 
2021-02-22T00:04:18.088+0100: 256.720: [GC (Allocation Failure) [PSYoungGen: 11178212K->71284K(10671616K)] 11552620K->445700K(12183040K), 0.0794206 secs] [Times: user=2.99 sys=0.00, real=0.08 secs] 
2021-02-22T00:04:33.423+0100: 272.054: [GC (Allocation Failure) [PSYoungGen: 10671220K->68722K(10187776K)] 11045636K->443146K(11699200K), 0.0692982 secs] [Times: user=2.52 sys=0.00, real=0.07 secs] 
2021-02-22T00:04:46.272+0100: 284.904: [GC (Allocation Failure) [PSYoungGen: 10187378K->67156K(9729024K)] 10561802K->441588K(11240448K), 0.0441901 secs] [Times: user=1.15 sys=0.00, real=0.04 secs] 
2021-02-22T00:05:00.402+0100: 299.034: [GC (Allocation Failure) [PSYoungGen: 9728596K->77175K(9304064K)] 10103028K->451606K(10815488K), 0.0647243 secs] [Times: user=1.90 sys=0.00, real=0.06 secs] 
2021-02-22T00:05:12.980+0100: 311.612: [GC (Allocation Failure) [PSYoungGen: 9303927K->67163K(8881152K)] 9678358K->443787K(10392576K), 0.0606829 secs] [Times: user=1.78 sys=0.00, real=0.06 secs] 
2021-02-22T00:05:26.122+0100: 324.754: [GC (Allocation Failure) [PSYoungGen: 8880730K->78180K(8499200K)] 9257354K->456852K(10010624K), 0.0627875 secs] [Times: user=1.94 sys=0.00, real=0.06 secs] 
2021-02-22T00:05:37.915+0100: 336.547: [GC (Allocation Failure) [PSYoungGen: 8499044K->64242K(8112128K)] 8877716K->445762K(9623552K), 0.0490369 secs] [Times: user=1.55 sys=0.00, real=0.05 secs] 
2021-02-22T00:05:48.267+0100: 346.899: [GC (Allocation Failure) [PSYoungGen: 8111858K->70299K(7763456K)] 8493378K->453555K(9274880K), 0.0455397 secs] [Times: user=1.30 sys=0.01, real=0.05 secs] 
2021-02-22T00:05:59.889+0100: 358.521: [GC (Allocation Failure) [PSYoungGen: 7763099K->71963K(7427584K)] 8146355K->456587K(8939008K), 0.0365147 secs] [Times: user=1.24 sys=0.02, real=0.04 secs] 
2021-02-22T00:06:08.641+0100: 367.273: [GC (Allocation Failure) [PSYoungGen: 7427355K->57499K(7092736K)] 7811979K->443119K(8604160K), 0.0335598 secs] [Times: user=0.78 sys=0.00, real=0.03 secs] 
2021-02-22T00:06:20.057+0100: 378.689: [GC (Allocation Failure) [PSYoungGen: 7092379K->63476K(6793216K)] 7477999K->450092K(8304640K), 0.0362356 secs] [Times: user=1.23 sys=0.00, real=0.04 secs] 
2021-02-22T00:06:30.406+0100: 389.038: [GC (Allocation Failure) [PSYoungGen: 6793204K->59835K(6499840K)] 7179820K->447275K(8011264K), 0.0404775 secs] [Times: user=1.34 sys=0.01, real=0.04 secs] 
2021-02-22T00:06:38.489+0100: 397.121: [GC (Allocation Failure) [PSYoungGen: 6496166K->61035K(6225408K)] 6883606K->449331K(7736832K), 0.0353731 secs] [Times: user=0.90 sys=0.01, real=0.04 secs] 
2021-02-22T00:06:46.217+0100: 404.849: [GC (Allocation Failure) [PSYoungGen: 6225003K->58084K(5960192K)] 6613299K->447188K(7471616K), 0.0324061 secs] [Times: user=0.91 sys=0.00, real=0.03 secs] 
2021-02-22T00:06:53.809+0100: 412.441: [GC (Allocation Failure) [PSYoungGen: 5959908K->56891K(5709824K)] 6349012K->446723K(7221248K), 0.0307595 secs] [Times: user=0.93 sys=0.00, real=0.04 secs] 
2021-02-22T00:07:02.907+0100: 421.539: [GC (Allocation Failure) [PSYoungGen: 5709371K->61965K(5477376K)] 6099203K->452517K(6988800K), 0.0296204 secs] [Times: user=0.84 sys=0.00, real=0.03 secs] 
2021-02-22T00:07:10.408+0100: 429.039: [GC (Allocation Failure) [PSYoungGen: 5476877K->56420K(5245952K)] 5867429K->447676K(6757376K), 0.0464032 secs] [Times: user=1.71 sys=0.02, real=0.05 secs] 
2021-02-22T00:07:16.865+0100: 435.497: [GC (Allocation Failure) [PSYoungGen: 5245540K->57883K(5032448K)] 5636796K->449827K(6543872K), 0.0462158 secs] [Times: user=1.73 sys=0.00, real=0.05 secs] 
2021-02-22T00:07:23.609+0100: 442.240: [GC (Allocation Failure) [PSYoungGen: 5031963K->58340K(4828160K)] 5423907K->451692K(6339584K), 0.0454305 secs] [Times: user=1.49 sys=0.00, real=0.05 secs] 
2021-02-22T00:07:30.861+0100: 449.493: [GC (Allocation Failure) [PSYoungGen: 4828132K->53106K(4628480K)] 5221484K->447466K(6139904K), 0.0344207 secs] [Times: user=1.16 sys=0.00, real=0.03 secs] 
2021-02-22T00:07:36.761+0100: 455.392: [GC (Allocation Failure) [PSYoungGen: 4628338K->54756K(4444672K)] 5022698K->450572K(5956096K), 0.0500257 secs] [Times: user=1.66 sys=0.00, real=0.05 secs] 
2021-02-22T00:07:42.217+0100: 460.848: [GC (Allocation Failure) [PSYoungGen: 4444644K->57453K(4271616K)] 4840460K->454277K(5783040K), 0.0292327 secs] [Times: user=0.71 sys=0.00, real=0.03 secs] 
2021-02-22T00:07:48.453+0100: 467.085: [GC (Allocation Failure) [PSYoungGen: 4271213K->50669K(4096512K)] 4668037K->450637K(5607936K), 0.0336685 secs] [Times: user=0.97 sys=0.00, real=0.03 secs] 
2021-02-22T00:07:54.965+0100: 473.597: [GC (Allocation Failure) [PSYoungGen: 4096493K->52939K(3939328K)] 4496461K->453771K(5450752K), 0.0444078 secs] [Times: user=1.63 sys=0.00, real=0.04 secs] 
2021-02-22T00:08:00.650+0100: 479.281: [GC (Allocation Failure) [PSYoungGen: 3939019K->54253K(3788288K)] 4339851K->457349K(5299712K), 0.0405862 secs] [Times: user=1.32 sys=0.00, real=0.05 secs] 
2021-02-22T00:08:04.249+0100: 482.881: [GC (Allocation Failure) [PSYoungGen: 3788269K->55268K(3644416K)] 4191365K->459172K(5155840K), 0.0540949 secs] [Times: user=1.63 sys=0.00, real=0.06 secs] 
2021-02-22T00:08:08.993+0100: 487.624: [GC (Allocation Failure) [PSYoungGen: 3644388K->44539K(3495936K)] 4048292K->456859K(5007360K), 0.0301044 secs] [Times: user=1.00 sys=0.00, real=0.03 secs] 
2021-02-22T00:08:14.039+0100: 492.671: [GC (Allocation Failure) [PSYoungGen: 3495931K->47963K(3367936K)] 3908251K->461559K(4879360K), 0.0284435 secs] [Times: user=0.96 sys=0.00, real=0.02 secs] 
2021-02-22T00:08:18.640+0100: 497.272: [GC (Allocation Failure) [PSYoungGen: 3367771K->50731K(3245568K)] 3781367K->464327K(4756992K), 0.0237861 secs] [Times: user=0.64 sys=0.00, real=0.02 secs] 
2021-02-22T00:08:24.019+0100: 502.651: [GC (Allocation Failure) [PSYoungGen: 3245099K->49627K(3124736K)] 3658695K->463719K(4636160K), 0.0285452 secs] [Times: user=0.93 sys=0.01, real=0.02 secs] 
2021-02-22T00:08:28.482+0100: 507.114: [GC (Allocation Failure) [PSYoungGen: 3124699K->47099K(3008512K)] 3538791K->473119K(4519936K), 0.0221199 secs] [Times: user=0.54 sys=0.02, real=0.02 secs] 
2021-02-22T00:08:32.135+0100: 510.767: [GC (Allocation Failure) [PSYoungGen: 3008507K->37298K(2890240K)] 3434527K->467374K(4401664K), 0.0121944 secs] [Times: user=0.29 sys=0.00, real=0.01 secs] 
2021-02-22T00:08:37.304+0100: 515.936: [GC (Allocation Failure) [PSYoungGen: 2890162K->42715K(2792448K)] 3320238K->472791K(4303872K), 0.0198005 secs] [Times: user=0.59 sys=0.00, real=0.02 secs] 
2021-02-22T00:08:40.345+0100: 518.976: [GC (Allocation Failure) [PSYoungGen: 2792155K->43931K(2694656K)] 3222231K->474927K(4206080K), 0.0384889 secs] [Times: user=1.13 sys=0.00, real=0.04 secs] 
2021-02-22T00:08:42.574+0100: 521.206: [GC (Allocation Failure) [PSYoungGen: 2694555K->42788K(2599424K)] 3125551K->475127K(4110848K), 0.0192612 secs] [Times: user=0.48 sys=0.00, real=0.02 secs] 
2021-02-22T00:08:46.340+0100: 524.972: [GC (Allocation Failure) [PSYoungGen: 2599204K->42308K(2509312K)] 3031543K->477480K(4020736K), 0.0193603 secs] [Times: user=0.45 sys=0.00, real=0.02 secs] 
2021-02-22T00:08:49.622+0100: 528.254: [GC (Allocation Failure) [PSYoungGen: 2509124K->49620K(2430976K)] 2944296K->486849K(3942400K), 0.0193329 secs] [Times: user=0.51 sys=0.00, real=0.02 secs] 
2021-02-22T00:08:53.141+0100: 531.773: [GC (Allocation Failure) [PSYoungGen: 2430932K->43051K(2342912K)] 2868161K->482116K(3854336K), 0.0233678 secs] [Times: user=0.58 sys=0.02, real=0.02 secs] 
2021-02-22T00:08:56.106+0100: 534.737: [GC (Allocation Failure) [PSYoungGen: 2342443K->40549K(2262016K)] 2781508K->483365K(3773440K), 0.0151226 secs] [Times: user=0.38 sys=0.00, real=0.02 secs] 
2021-02-22T00:09:00.095+0100: 538.726: [GC (Allocation Failure) [PSYoungGen: 2261605K->40996K(2187776K)] 2704421K->486849K(3699200K), 0.0155717 secs] [Times: user=0.37 sys=0.00, real=0.02 secs] 
2021-02-22T00:09:03.336+0100: 541.968: [GC (Allocation Failure) [PSYoungGen: 2187300K->50436K(2125824K)] 2633153K->496841K(3637248K), 0.0184531 secs] [Times: user=0.57 sys=0.00, real=0.02 secs] 
2021-02-22T00:09:07.850+0100: 546.482: [GC (Allocation Failure) [PSYoungGen: 2125572K->43885K(2051072K)] 2571977K->491321K(3562496K), 0.0218566 secs] [Times: user=0.67 sys=0.01, real=0.02 secs] 
2021-02-22T00:09:09.902+0100: 548.533: [GC (Allocation Failure) [PSYoungGen: 2050925K->39908K(1981952K)] 2498361K->492241K(3493376K), 0.0188745 secs] [Times: user=0.58 sys=0.01, real=0.02 secs] 
2021-02-22T00:09:13.590+0100: 552.222: [GC (Allocation Failure) [PSYoungGen: 1981924K->38852K(1918464K)] 2434257K->494786K(3429888K), 0.0202245 secs] [Times: user=0.64 sys=0.00, real=0.02 secs] 
2021-02-22T00:09:17.026+0100: 555.657: [GC (Allocation Failure) [PSYoungGen: 1918404K->41908K(1862144K)] 2374338K->497842K(3373568K), 0.0192087 secs] [Times: user=0.59 sys=0.00, real=0.02 secs] 
2021-02-22T00:09:18.988+0100: 557.620: [GC (Allocation Failure) [PSYoungGen: 1862068K->40708K(1804288K)] 2318002K->497995K(3315712K), 0.0204681 secs] [Times: user=0.63 sys=0.00, real=0.02 secs] 
2021-02-22T00:09:20.807+0100: 559.439: [GC (Allocation Failure) [PSYoungGen: 1804036K->39405K(1747968K)] 2261323K->498823K(3259392K), 0.0283119 secs] [Times: user=0.94 sys=0.01, real=0.03 secs] 
2021-02-22T00:09:22.547+0100: 561.179: [GC (Allocation Failure) [PSYoungGen: 1747949K->38583K(1860608K)] 2207367K->501781K(3372032K), 0.0264365 secs] [Times: user=0.72 sys=0.00, real=0.03 secs] 
2021-02-22T00:09:24.587+0100: 563.218: [GC (Allocation Failure) [PSYoungGen: 1860279K->37421K(1985024K)] 2323477K->503264K(3496448K), 0.0267254 secs] [Times: user=0.76 sys=0.00, real=0.03 secs] 
2021-02-22T00:09:26.280+0100: 564.912: [GC (Allocation Failure) [PSYoungGen: 1984557K->36557K(2115072K)] 2450400K->503880K(3626496K), 0.0174347 secs] [Times: user=0.50 sys=0.00, real=0.01 secs] 
2021-02-22T00:09:29.196+0100: 567.828: [GC (Allocation Failure) [PSYoungGen: 2114765K->35812K(2242048K)] 2582088K->505139K(3753472K), 0.0158932 secs] [Times: user=0.39 sys=0.00, real=0.02 secs] 
2021-02-22T00:09:32.031+0100: 570.663: [GC (Allocation Failure) [PSYoungGen: 2242020K->35725K(2167808K)] 2711347K->506900K(3679232K), 0.0163771 secs] [Times: user=0.39 sys=0.01, real=0.01 secs] 
2021-02-22T00:09:35.672+0100: 574.303: [GC (Allocation Failure) [PSYoungGen: 2167693K->36077K(2097664K)] 2638868K->509432K(3609088K), 0.0187820 secs] [Times: user=0.46 sys=0.00, real=0.02 secs] 
2021-02-22T00:09:38.718+0100: 577.350: [GC (Allocation Failure) [PSYoungGen: 2097389K->37261K(2031104K)] 2570744K->512181K(3542528K), 0.0408263 secs] [Times: user=1.34 sys=0.00, real=0.04 secs] 
2021-02-22T00:09:41.857+0100: 580.489: [GC (Allocation Failure) [PSYoungGen: 2030989K->37229K(1966592K)] 2505909K->514177K(3478016K), 0.0184097 secs] [Times: user=0.56 sys=0.02, real=0.02 secs] 
2021-02-22T00:09:44.561+0100: 583.193: [GC (Allocation Failure) [PSYoungGen: 1966445K->38221K(1905664K)] 2443393K->516886K(3417088K), 0.0188437 secs] [Times: user=0.50 sys=0.00, real=0.02 secs] 
2021-02-22T00:09:46.301+0100: 584.933: [GC (Allocation Failure) [PSYoungGen: 1905485K->36781K(2025472K)] 2384150K->517794K(3536896K), 0.0300220 secs] [Times: user=0.81 sys=0.01, real=0.03 secs] 
2021-02-22T00:09:48.872+0100: 587.504: [GC (Allocation Failure) [PSYoungGen: 2025389K->36859K(2166272K)] 2506402K->519260K(3677696K), 0.0415506 secs] [Times: user=1.18 sys=0.00, real=0.04 secs] 
2021-02-22T00:09:53.970+0100: 592.602: [GC (Allocation Failure) [PSYoungGen: 2166267K->35319K(2299392K)] 2648668K->521903K(3810816K), 0.0225149 secs] [Times: user=0.54 sys=0.02, real=0.02 secs] 
2021-02-22T00:09:57.669+0100: 596.301: [GC (Allocation Failure) [PSYoungGen: 2299383K->39255K(2443776K)] 2785967K->529655K(3955200K), 0.0326128 secs] [Times: user=0.86 sys=0.00, real=0.04 secs] 
2021-02-22T00:10:00.291+0100: 598.923: [GC (Allocation Failure) [PSYoungGen: 2443607K->29165K(2594816K)] 2934007K->527430K(4106240K), 0.0371151 secs] [Times: user=1.12 sys=0.02, real=0.03 secs] 
2021-02-22T00:10:02.346+0100: 600.978: [GC (Allocation Failure) [PSYoungGen: 2594797K->29293K(2750464K)] 3093062K->530710K(4261888K), 0.0103000 secs] [Times: user=0.23 sys=0.01, real=0.01 secs] 
2021-02-22T00:10:06.137+0100: 604.769: [GC (Allocation Failure) [PSYoungGen: 2750061K->32205K(2655744K)] 3251478K->533622K(4167168K), 0.0189806 secs] [Times: user=0.46 sys=0.00, real=0.02 secs] 
2021-02-22T00:10:09.511+0100: 608.143: [GC (Allocation Failure) [PSYoungGen: 2655693K->30660K(2561536K)] 3157110K->533389K(4072960K), 0.0254524 secs] [Times: user=0.73 sys=0.00, real=0.02 secs] 
2021-02-22T00:10:13.035+0100: 611.666: [GC (Allocation Failure) [PSYoungGen: 2561476K->34884K(2477568K)] 3064205K->538317K(3988992K), 0.0123147 secs] [Times: user=0.29 sys=0.00, real=0.01 secs] 
