timestamp,socket_0,socket_0_TSENT,socket_0_TSENTSEC,socket_0_TTHSENTSEC,socket_0_TTHSENT,socket_status_0,TMSG,TOSEND,SENT,TMSGSEC,TTHMSGSEC,AVG,THtotalsent,ackSent,state,globalState,THloss
1,0,0,0,0.00,0.00,2,0,0,0,0,0.00,0.00,0.00,0,0.00,8.00,0.00
2,0,0,0,0.00,0.00,2,0,0,0,0,0.00,0.00,0.00,0,0.00,8.00,0.00
3,0,0,0,0.00,0.00,2,0,0,0,0,0.00,0.00,0.00,0,0.00,8.00,0.00
4,0,0,0,0.00,0.00,2,0,0,0,0,0.00,0.00,0.00,0,0.00,8.00,0.00
5,0,0,0,0.00,0.00,2,0,0,0,0,0.00,0.00,0.00,0,0.00,8.00,0.00
6,0,0,0,0.00,0.00,2,0,0,0,0,0.00,0.00,0.00,0,0.00,8.00,0.00
7,0,0,0,0.00,0.00,2,0,0,0,0,0.00,0.00,0.00,0,0.00,8.00,0.00
8,0,0,0,0.00,0.00,2,0,0,0,0,0.00,0.00,0.00,0,0.00,8.00,0.00
9,0,0,0,0.00,0.00,2,0,0,0,0,0.00,0.00,0.00,0,0.00,8.00,0.00
10,0,0,0,0.00,0.00,2,0,0,0,0,0.00,0.00,0.00,0,0.00,8.00,0.00
11,0,40290,40290,369.02,369.02,2,40290,0,40290,40290,369.02,33.55,369.02,0,0.00,8.00,0.00
12,0,150248,109958,1007.11,1376.13,2,150248,0,150248,109958,1007.11,114.68,1376.13,0,0.00,8.00,0.00
13,0,192132,41884,383.62,1759.75,2,192132,0,192132,41884,383.62,135.37,1759.75,0,0.00,8.00,0.00
14,0,224139,32007,293.15,2052.91,2,224139,0,224139,32007,293.15,146.64,2052.91,0,0.00,8.00,0.00
15,0,256145,32006,293.15,2346.05,2,256145,0,256145,32006,293.15,156.40,2346.05,0,0.00,8.00,0.00
16,0,261993,5848,53.56,2399.62,2,274068,12075,261993,5848,53.56,149.98,2399.62,0,0.00,8.00,0.00
17,0,275847,13854,126.89,2526.51,2,286117,10270,275847,13854,126.89,148.62,2526.51,0,0.00,8.00,0.00
18,0,320546,44699,409.40,2935.91,2,320546,0,320546,44699,409.40,163.11,2935.91,0,0.00,8.00,0.00
