batchTime;numRecords;processingDelay;schedulingDelay;
1613948408000;0;1397;4
1613948410000;24400;997;1
1613948412000;32010;823;0
1613948414000;47995;986;0
1613948416000;83299;1043;0
1613948418000;112955;1075;0
1613948420000;171716;1430;0
1613948422000;212075;2089;1
1613948424000;240418;2250;81
1613948426000;211637;4082;315
1613948428000;210161;1826;2412
1613948430000;197240;1672;2207
1613948432000;140512;1869;1919
1613948434000;140401;1600;1792
1613948436000;186214;1413;1394
1613948438000;133859;1268;804
1613948440000;175187;1855;57
1613948442000;202768;1518;0
1613948444000;190613;2230;0
1613948446000;267415;3175;232
1613948448000;203565;2053;1404
1613948450000;170580;1616;1461
1613948452000;164835;2334;1068
1613948454000;168487;1432;1391
1613948456000;181142;2488;837
1613948458000;148224;1756;1328
1613948460000;200139;1663;1084
1613948462000;136607;1613;750
1613948464000;172561;1816;363
1613948466000;179918;2967;177
1613948468000;177063;1547;1146
1613948470000;170121;1676;695
1613948472000;155351;1643;367
1613948474000;194635;2057;2
1613948476000;183880;1796;51
1613948478000;226122;2203;1
1613948480000;163071;1409;502
1613948482000;245723;2795;0
1613948484000;176446;1608;1131
1613948486000;210644;3105;741
1613948488000;183316;2291;1846
1613948490000;230279;1712;1865
1613948492000;100541;1144;1853
1613948494000;160188;1948;697
1613948496000;149581;1392;934
1613948498000;150299;1375;332
1613948500000;220171;2491;0
1613948502000;168928;1928;624
1613948504000;194362;1633;550
1613948506000;172099;2823;193
1613948508000;205917;1643;1010
1613948510000;196497;1747;661
1613948512000;167331;1481;405
1613948514000;259096;2893;0
1613948516000;166814;1451;1212
1613948518000;216862;2345;660
1613948520000;189530;1637;1004
1613948522000;193944;1874;642
1613948524000;189620;1897;516
1613948526000;200870;3241;413
1613948528000;191525;1541;1652
1613948530000;216900;1622;1084
1613948532000;111289;1361;820
1613948534000;219114;2424;164
1613948536000;170306;1932;587
1613948538000;167287;1666;521
1613948540000;175300;1468;192
1613948542000;227117;1512;0
1613948544000;246657;2106;0
1613948546000;240233;3067;135
1613948548000;253518;2044;1200
1613948550000;220129;1712;1243
1613948552000;164551;2279;956
1613948554000;214867;1942;1228
1613948556000;215786;1791;1168
1613948558000;142902;2285;967
1613948560000;199188;1984;1255
1613948562000;197654;1765;1234
1613948564000;123830;2112;1002
1613948566000;181300;2467;1115
1613948568000;176367;1488;1582
1613948570000;131462;1827;1050
1613948572000;116239;1390;898
1613948574000;181419;1599;275
1613948576000;176928;1299;0
1613948578000;176692;1335;0
1613948580000;270730;2422;0
1613948582000;264984;2156;419
1613948584000;241299;1818;577
1613948586000;229858;3465;399
1613948588000;244292;1872;1865
1613948590000;294242;2038;1446
1613948592000;137277;1352;1591
1613948594000;215776;1817;910
1613948596000;181042;2215;943
1613948598000;183738;1969;1155
1613948600000;203646;1761;1126
1613948602000;151882;1436;885
1613948604000;178770;2383;320
1613948606000;197706;2361;708
1613948608000;172602;1452;1070
1613948610000;147922;1326;519
1613948612000;227732;1578;0
1613948614000;216164;1949;0
1613948616000;223069;2060;204
1613948618000;250088;2943;264
1613948620000;206765;1689;1201
1613948622000;209297;1988;892
1613948624000;169088;2124;881
1613948626000;211404;2508;1006
1613948628000;186403;1481;1514
1613948630000;145226;1292;994
1613948632000;168774;2166;285
1613948634000;206888;3025;450
1613948636000;164320;1541;1476
1613948638000;157126;2219;1018
1613948640000;120616;1562;1239
1613948642000;110454;1612;800
1613948644000;114901;1393;413
1613948646000;155383;2734;0
1613948648000;126413;1196;931
1613948650000;144721;1403;139
1613948652000;169373;1416;0
1613948654000;205710;1608;0
1613948656000;165587;1410;0
1613948658000;219774;1961;0
1613948660000;309530;2222;0
1613948662000;173836;2041;588
1613948664000;192622;1813;629
1613948666000;199024;3057;444
1613948668000;208349;1891;1495
1613948670000;214208;1711;1392
1613948672000;120074;1356;1103
1613948674000;165336;2583;459
1613948676000;170603;1480;1033
1613948678000;129888;2243;522
1613948680000;135107;1450;765
1613948682000;174659;1543;215
1613948684000;181160;1621;0
1613948686000;200768;2055;1
1613948688000;207156;2165;277
1613948690000;205590;1596;444
1613948692000;190327;2059;33
1613948694000;231954;1693;95
1613948696000;245365;1678;1
1613948698000;272348;1922;0
1613948700000;191908;1935;246
1613948702000;291851;2029;173
1613948704000;184166;1863;210
1613948706000;211839;3066;66
1613948708000;192302;1792;1136
1613948710000;181730;1735;930
1613948712000;154197;1731;664
1613948714000;189961;1811;397
1613948716000;176601;1546;204
1613948718000;232912;1989;0
1613948720000;179238;2057;154
1613948722000;231284;3374;217
1613948724000;170885;1696;1588
1613948726000;212902;3666;1262
1613948728000;111429;1123;2950
1613948730000;170436;2630;2076
1613948732000;147285;1403;2700
1613948734000;123890;1316;2106
1613948736000;130349;1479;1422
1613948738000;139216;1410;900
1613948740000;149208;1496;308
1613948742000;206488;1604;1
